id,name,short_name,category,points,teen_only,adult_only,spinal_pct,collapse_pct,pelvic_pct,legs_pct,potency,hgh_score,beast_bonus,primary_timer_dosage,description,safety_note,instructions_merged,instructions_methods_json,variant_prescriptions,seconds_per_rep
11,Deep Squat Hold,Deep Squat,posture,8,False,False,10,5,40,45,8,4,2,2 set(s) × 45 seconds (timer),"Resets tight hips, ankles, and lower back into full range — the foundation for standing taller.",,DEEP SQUAT HOLD — 2 sets × 45 sec hold | Squat down as low as you can with your feet flat on the floor. | Place your elbows inside your knees and gently push them apart. | Keep your chest tall and hold for the full 45 seconds.,"[{""steps"": [""Squat down as low as you can with your feet flat on the floor."", ""Place your elbows inside your knees and gently push them apart."", ""Keep your chest tall and hold for the full 45 seconds.""], ""title"": ""DEEP SQUAT HOLD — 2 sets × 45 sec hold""}]",core 4- HeightMax POSTURE|13–20|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|21–29|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|40–49|ess|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|50–59|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|30–39|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|13–20|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|60+|ess|beast|2 set(s) × 45 seconds (timer),
34,Doorway Chest Stretch,,posture,6,False,False,20,75,5,0,8,1,1,2 set(s) × 30 seconds (timer),"Opens tight chest muscles that pull the shoulders forward, letting them settle back and tall.",,"DOORWAY CHEST STRETCH — 2 sets × 30 sec hold | Stand in a doorway and place your forearms on the frame, elbows at shoulder height. | Step one foot forward and lean gently through the doorway. | Feel the stretch across your chest and hold for the full 30 seconds.","[{""steps"": [""Stand in a doorway and place your forearms on the frame, elbows at shoulder height."", ""Step one foot forward and lean gently through the doorway."", ""Feel the stretch across your chest and hold for the full 30 seconds.""], ""title"": ""DOORWAY CHEST STRETCH — 2 sets × 30 sec hold""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|21–29|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|30–39|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|40–49|ess|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|50–59|pos|rec|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|60+|ess|rec|2 set(s) × 30 seconds (timer),
15,Foam Roller Thoracic Extension,Foam Roller,posture,9,False,False,,,,,,,0,2 set(s) × 12 reps,"Reverses upper-back rounding (kyphosis), unlocking height trapped in a hunched thoracic spine.",,"FOAM ROLLER THORACIC EXTENSION — 2 sets × 12 reps | Lie with a foam roller across your upper back, knees bent. | Support your head with your hands and gently arch back over the roller. | Return to start and repeat for 12 slow, controlled reps.","[{""steps"": [""Lie with a foam roller across your upper back, knees bent."", ""Support your head with your hands and gently arch back over the roller."", ""Return to start and repeat for 12 slow, controlled reps.""], ""title"": ""FOAM ROLLER THORACIC EXTENSION — 2 sets × 12 reps""}]",Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 12 reps ;; Core 6- HeightMax Essentials|21–29|pos|beast|2 set(s) × 12 reps,4.2
22,Glute Bridges,Glute Bridges,posture,7,False,False,10,0,70,20,8,3,2,2 set(s) × 20 reps,Activates the glutes to correct pelvic tilt and stabilize the spine into a taller alignment.,,GLUTE BRIDGES — 2 sets × 20 reps | Lie on your back with knees bent and feet flat. | Squeeze your glutes and lift your hips until your body forms a straight line. | Lower slowly with control and repeat for 20 consecutive reps.,"[{""steps"": [""Lie on your back with knees bent and feet flat."", ""Squeeze your glutes and lift your hips until your body forms a straight line."", ""Lower slowly with control and repeat for 20 consecutive reps.""], ""title"": ""GLUTE BRIDGES — 2 sets × 20 reps""}]",core 4- HeightMax POSTURE|13–20|pos|beast|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|21–29|pos|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|40–49|ess|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|50–59|pos|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|30–39|pos|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|60+|ess|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|13–20|pos|beast|2 set(s) × 20 reps,4.0
18,Hamstring Stretch,Hamstring Stretch,posture,6,False,False,50,30,65,5,7,1,0,2 set(s) × 30 seconds per leg (timer),Loosens tight hamstrings that pull the pelvis out of line — freeing it to sit tall and neutral.,,"HAMSTRING STRETCH — 2 sets × 30 sec hold each leg | Sit with one leg straight and the other bent inward. | Reach gently toward the toes of your straight leg. | Hold for the full 30 seconds, then switch legs.","[{""steps"": [""Sit with one leg straight and the other bent inward."", ""Reach gently toward the toes of your straight leg."", ""Hold for the full 30 seconds, then switch legs.""], ""title"": ""HAMSTRING STRETCH — 2 sets × 30 sec hold each leg""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 30 seconds per leg (timer) ;; Core 6- HeightMax Essentials|30–39|pos|rec|2 set(s) × 30 seconds per leg (timer) ;; Core 6- HeightMax Essentials|60+|ess|rec|2 set(s) × 30 seconds per leg (timer) ;; Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 30 seconds per leg (timer) ;; Core 6- HeightMax Essentials|21–29|pos|rec|2 set(s) × 30 seconds per leg (timer) ;; Core 6- HeightMax Essentials|40–49|ess|rec|2 set(s) × 30 seconds per leg (timer) ;; Core 6- HeightMax Essentials|50–59|pos|rec|2 set(s) × 30 seconds per leg (timer),
8,HGH Boost (Sprint & Burpees),HGH Boost,hgh,15,False,False,,,,,,,0,2 set(s) × 30 seconds (timer),Short max-effort bursts spike natural growth hormone — the key driver of growth while you're developing.,,"HGH BOOST (SPRINT & BURPEES) — 2 rounds: 30 sec sprint + 10 burpees | Sprint in place as hard as you can for 30 seconds. | Immediately drop into 10 fast burpees. | Rest briefly, then complete your second round.","[{""steps"": [""Sprint in place as hard as you can for 30 seconds."", ""Immediately drop into 10 fast burpees."", ""Rest briefly, then complete your second round.""], ""title"": ""HGH BOOST (SPRINT & BURPEES) — 2 rounds: 30 sec sprint + 10 burpees""}]",core 4- HeightMax POSTURE|13–20|pos|beast|2 set(s) × 30 seconds (timer) ;; Core 6- HeightMax Essentials|50–59|pos|rec|2 set(s) × 30 seconds (timer),
27,High Knees,High Knees,hgh,8,True,False,5,10,25,60,6,9,2,2 set(s) × 40 seconds (timer),A fast-impact burst that stimulates growth hormone and gets the whole body firing.,,"HIGH KNEES — 2 sets × 40 sec | Stand tall and run in place, driving your knees toward your chest. | Pump your arms and stay light on your feet. | Keep the pace up for the full 40 seconds.","[{""steps"": [""Stand tall and run in place, driving your knees toward your chest."", ""Pump your arms and stay light on your feet."", ""Keep the pace up for the full 40 seconds.""], ""title"": ""HIGH KNEES — 2 sets × 40 sec""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 40 seconds (timer) ;; Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 40 seconds (timer),
23,Hip Flexor Stretch,Hip Flexor Stretch,posture,7,False,False,10,0,75,15,9,1,1,2 set(s) × 30 seconds per side (timer),Releases the tight hip flexors that pull your pelvis forward — a top hidden cause of lost height.,,"HIP FLEXOR STRETCH — 2 sets × 30 sec hold each side | Kneel on one knee with the other foot forward, front knee at 90°. | Push your hips gently forward until you feel a stretch at the front of the hip. | Hold for the full 30 seconds, then switch sides.","[{""steps"": [""Kneel on one knee with the other foot forward, front knee at 90°."", ""Push your hips gently forward until you feel a stretch at the front of the hip."", ""Hold for the full 30 seconds, then switch sides.""], ""title"": ""HIP FLEXOR STRETCH — 2 sets × 30 sec hold each side""}]",Core 2 - HeightMax HGH|13–20|hgh|beast|2 set(s) × 30 seconds per side (timer) ;; core 4- HeightMax POSTURE|13–20|pos|core|2 set(s) × 30 seconds per side (timer) ;; Core 6- HeightMax Essentials|13–20|pos|core|2 set(s) × 30 seconds per side (timer) ;; Core 6- HeightMax Essentials|21–29|pos|core|2 set(s) × 30 seconds per side (timer) ;; Core 6- HeightMax Essentials|40–49|ess|core|2 set(s) × 30 seconds per side (timer) ;; Core 6- HeightMax Essentials|50–59|pos|core|2 set(s) × 30 seconds per side (timer) ;; Core 6- HeightMax Essentials|30–39|pos|core|2 set(s) × 30 seconds per side (timer) ;; Core 6- HeightMax Essentials|60+|ess|core|2 set(s) × 30 seconds per side (timer),
2,Jump Rope,Jump Rope,hgh,9,True,False,15,10,20,55,6,9,2,2 set(s) × 60 seconds (timer),Rhythmic impact triggers growth hormone and strengthens bone — prime signals while you're still growing.,,"JUMP ROPE — 2 sets × 60 sec | Hold the rope handles at hip height (or mime it without a rope). | Jump with both feet, keeping the jumps low and quick. | Land softly on the balls of your feet for the full 60 seconds.","[{""steps"": [""Hold the rope handles at hip height (or mime it without a rope)."", ""Jump with both feet, keeping the jumps low and quick."", ""Land softly on the balls of your feet for the full 60 seconds.""], ""title"": ""JUMP ROPE — 2 sets × 60 sec""}]",Core 2 - HeightMax HGH|13–20|hgh|core|2 set(s) × 60 seconds (timer) ;; core 4- HeightMax POSTURE|13–20|pos|core|2 set(s) × 60 seconds (timer) ;; Core 6- HeightMax Essentials|13–20|pos|core|2 set(s) × 60 seconds (timer),
21,Lunges,Lunges,hgh,7,True,False,5,5,30,60,6,7,1,2 set(s) × 12 reps per leg,"Builds leg strength and opens the hip flexors, supporting a taller, balanced stance.",,LUNGES — 2 sets × 12 reps each leg | Step one foot forward and lower your back knee toward the floor. | Keep your front knee stacked directly over your ankle. | Push back to standing and alternate for 12 reps each leg.,"[{""steps"": [""Step one foot forward and lower your back knee toward the floor."", ""Keep your front knee stacked directly over your ankle."", ""Push back to standing and alternate for 12 reps each leg.""], ""title"": ""LUNGES — 2 sets × 12 reps each leg""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 12 reps per leg ;; Core 6- HeightMax Essentials|30–39|pos|beast|2 set(s) × 12 reps per leg ;; Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 12 reps per leg,4.2
6,Mountain Climber,Mountain Climber,hgh,8,True,False,10,15,45,30,6,9,3,2 set(s) × 40 seconds (timer),A high-intensity burst that spikes growth hormone while training core and shoulder stability.,,"MOUNTAIN CLIMBERS — 2 sets × 40 sec | Start in a high plank with your hands under your shoulders. | Drive one knee toward your chest, then quickly switch legs. | Keep your hips low and the pace fast for the full 40 seconds.","[{""steps"": [""Start in a high plank with your hands under your shoulders."", ""Drive one knee toward your chest, then quickly switch legs."", ""Keep your hips low and the pace fast for the full 40 seconds.""], ""title"": ""MOUNTAIN CLIMBERS — 2 sets × 40 sec""}]",,
35,Mountain Climbers,,hgh,8,True,False,10,15,45,30,6,9,3,2 set(s) × 40 seconds (timer),A high-intensity burst that spikes growth hormone while training core and shoulder stability.,,"MOUNTAIN CLIMBERS — 2 sets × 40 sec | Start in a high plank with your hands under your shoulders. | Drive one knee toward your chest, then quickly switch legs. | Keep your hips low and the pace fast for the full 40 seconds.","[{""steps"": [""Start in a high plank with your hands under your shoulders."", ""Drive one knee toward your chest, then quickly switch legs."", ""Keep your hips low and the pace fast for the full 40 seconds.""], ""title"": ""MOUNTAIN CLIMBERS — 2 sets × 40 sec""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 40 seconds (timer) ;; Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 40 seconds (timer),
13,Pelvic Tilts,Pelvic Tilts,posture,6,False,True,15,10,70,5,6,1,0,2 set(s) × 20 reps,Strengthens the deep core and corrects pelvic tilt — the sway that hides height and pushes the belly forward.,,PELVIC TILTS — 2 sets × 20 reps | Lie on your back with knees bent and feet flat on the floor. | Gently flatten your lower back into the floor by tilting your pelvis up. | Release and repeat for 20 consecutive reps.,"[{""steps"": [""Lie on your back with knees bent and feet flat on the floor."", ""Gently flatten your lower back into the floor by tilting your pelvis up."", ""Release and repeat for 20 consecutive reps.""], ""title"": ""PELVIC TILTS — 2 sets × 20 reps""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|40–49|ess|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|30–39|pos|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|60+|ess|core|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|21–29|pos|rec|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|50–59|pos|rec|2 set(s) × 20 reps,3.4
25,Plank,Plank,posture,7,False,False,35,25,35,5,7,5,3,2 set(s) × 45 seconds (timer),Builds the deep-core endurance that holds your spine tall and stable all day long.,,PLANK — 2 sets × 45 sec hold | Rest on your forearms with elbows directly under your shoulders. | Extend your legs back so your body forms one straight line. | Brace your core and hold for the full 45 seconds — don't let your hips sag.,"[{""steps"": [""Rest on your forearms with elbows directly under your shoulders."", ""Extend your legs back so your body forms one straight line."", ""Brace your core and hold for the full 45 seconds — don't let your hips sag.""], ""title"": ""PLANK — 2 sets × 45 sec hold""}]",core 4- HeightMax POSTURE|13–20|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|40–49|ess|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|13–20|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|21–29|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|30–39|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|50–59|pos|beast|2 set(s) × 45 seconds (timer) ;; Core 6- HeightMax Essentials|60+|ess|beast|2 set(s) × 45 seconds (timer),
20,Seated Forward Fold,Seated Forward,posture,8,False,False,,,,,,,0,2 set(s) × 30 seconds (timer),"Lengthens the whole back chain — hamstrings, lower back, spine — that compresses from sitting.",,SEATED FORWARD FOLD — 2 sets × 30 sec hold | Sit with both legs extended straight in front of you. | Hinge at your hips and reach toward your toes. | Relax into the stretch and hold for the full 30 seconds.,"[{""steps"": [""Sit with both legs extended straight in front of you."", ""Hinge at your hips and reach toward your toes."", ""Relax into the stretch and hold for the full 30 seconds.""], ""title"": ""SEATED FORWARD FOLD — 2 sets × 30 sec hold""}]",Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 30 seconds (timer),
5,Spinal Twist Stretch,Spinal Twist,posture,6,False,False,70,15,15,0,6,1,1,2 set(s) × 30 seconds per side (timer),"Mobilizes and realigns the spine's rotation, releasing tension that pulls your posture out of line.",,"SPINAL TWIST STRETCH — 2 sets × 30 sec hold each side | Lie on your back with both arms out wide in a 'T'. | Drop one bent knee across your body toward the floor, keeping both shoulders flat. | Hold for the full 30 seconds, then switch sides.","[{""steps"": [""Lie on your back with both arms out wide in a 'T'."", ""Drop one bent knee across your body toward the floor, keeping both shoulders flat."", ""Hold for the full 30 seconds, then switch sides.""], ""title"": ""SPINAL TWIST STRETCH — 2 sets × 30 sec hold each side""}]",core 4- HeightMax POSTURE|13–20|pos|rec|2 set(s) × 30 seconds per side (timer) ;; Core 6- HeightMax Essentials|40–49|ess|rec|2 set(s) × 30 seconds per side (timer) ;; Core 6- HeightMax Essentials|13–20|pos|rec|2 set(s) × 30 seconds per side (timer) ;; Core 6- HeightMax Essentials|21–29|pos|rec|2 set(s) × 30 seconds per side (timer) ;; Core 6- HeightMax Essentials|30–39|pos|rec|2 set(s) × 30 seconds per side (timer) ;; Core 6- HeightMax Essentials|50–59|pos|rec|2 set(s) × 30 seconds per side (timer) ;; Core 6- HeightMax Essentials|60+|ess|rec|2 set(s) × 30 seconds per side (timer),
24,Squats,Squats,hgh,8,True,False,5,5,35,55,7,8,1,2 set(s) × 20 reps,Loads the legs and spine to trigger growth hormone and build the strength that holds you upright.,,SQUATS — 2 sets × 20 reps | Stand with your feet shoulder-width apart. | Lower your hips back and down like sitting into a chair. | Drive back up tall and repeat for 20 reps.,"[{""steps"": [""Stand with your feet shoulder-width apart."", ""Lower your hips back and down like sitting into a chair."", ""Drive back up tall and repeat for 20 reps.""], ""title"": ""SQUATS — 2 sets × 20 reps""}]",core 4- HeightMax POSTURE|13–20|pos|beast|2 set(s) × 20 reps ;; Core 6- HeightMax Essentials|21–29|pos|beast|2 set(s) × 20 reps,3.0
